file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/hardware/platform/mac/MacGraphicsCard.java,oshi.hardware.platform.mac.MacGraphicsCard,class,7,9,2,7,18,2,0,17,6,0.75,0.0,0.0,4,2,2,1,0,1,3,0,0,0,1,1,0,1,0,0,1,0,6,57,5,1,1,0,0,14,13,15,0,11,4,0,0,0,57,16,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/hardware/platform/mac/MacHWDiskStore.java,oshi.hardware.platform.mac.MacHWDiskStore,class,21,23,2,21,50,2,0,51,58,0.8321678,0.0,0.0,13,2,10,3,0,0,10,0,0,0,11,3,0,11,0,0,3,0,11,259,15,7,27,0,1,24,17,97,2,70,9,0,1,0,165,17,4
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/software/os/unix/openbsd/OpenBsdFileSystem.java,oshi.software.os.unix.openbsd.OpenBsdFileSystem,class,9,12,3,9,24,2,0,20,10,0.90000004,0.0,0.0,5,1,4,0,0,1,5,0,0,0,8,8,4,4,0,0,8,0,13,80,5,2,2,0,3,23,22,31,4,26,3,0,0,0,79,1,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/hardware/platform/mac/MacGpuStats.java,oshi.hardware.platform.mac.MacGpuStats,class,15,17,2,15,51,1,0,32,59,0.87179494,0.0,0.0,15,0,11,3,0,1,12,0,0,11,13,9,0,13,0,0,12,0,6,220,28,1,21,7,0,16,18,46,4,42,7,0,0,0,147,16,1
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/hardware/common/AbstractLogicalVolumeGroup.java,oshi.hardware.common.AbstractLogicalVolumeGroup,class,1,4,3,1,8,1,3,11,0,0.4,0.0,0.0,5,0,4,0,1,0,5,0,0,0,3,0,0,3,0,0,3,0,3,35,4,2,0,0,0,4,0,5,0,5,2,0,0,0,32,1,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/driver/windows/wmi/Win32ComputerSystem.java,oshi.driver.windows.wmi.Win32ComputerSystem,class,4,4,0,4,2,1,0,3,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,10,1,0,0,0,0,1,0,2,0,2,0,0,1,0,32,17,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/hardware/platform/mac/MacHardwareAbstractionLayer.java,oshi.hardware.platform.mac.MacHardwareAbstractionLayer,class,26,28,2,26,12,2,2,9,66,0.0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,9,38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1025,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/hardware/platform/unix/aix/AixUsbDevice.java,oshi.hardware.platform.unix.aix.AixUsbDevice,class,4,6,2,4,6,2,0,7,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,21,2,1,1,0,0,7,4,3,0,3,3,0,0,0,60,1,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/util/FileSystemUtil.java,oshi.util.FileSystemUtil,class,3,11,8,3,13,1,0,11,10,0.8,0.0,0.0,5,4,4,1,0,0,4,0,0,0,2,2,0,2,0,0,2,0,9,39,6,2,0,0,1,4,1,8,1,7,3,0,0,0,100,17,0
/tmp/ck-analysis/oshi_oshi/oshi-core-java25/src/main/java/oshi/ffm/mac/CoreFoundation.java,oshi.ffm.mac.CoreFoundation$CFNumberRef,innerclass,2,2,0,2,27,2,0,13,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,12,98,24,0,0,6,0,1,24,12,1,12,2,0,0,0,49,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/hardware/platform/unix/solaris/SolarisPowerSource.java,oshi.hardware.platform.unix.solaris.SolarisPowerSource,class,6,9,3,6,22,2,0,7,3,0.6666667,0.0,0.0,3,2,2,1,0,0,3,0,0,0,2,2,0,2,0,0,2,0,2,92,2,0,9,2,1,16,38,48,5,32,4,0,0,0,79,17,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/test/java/oshi/hardware/DisplayTest.java,oshi.hardware.DisplayTest,class,4,4,0,4,2,1,0,6,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,1,2,0,2,1,0,0,0,23,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/software/os/mac/MacOSThread.java,oshi.software.os.mac.MacOSThread,class,3,6,3,3,9,2,0,0,22,0.77777773,0.0,0.0,9,0,9,0,0,0,9,0,0,0,7,0,0,7,0,0,7,0,0,43,7,0,0,0,0,0,6,7,0,7,0,0,0,0,24,1,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/hardware/platform/unix/solaris/SolarisGraphicsCard.java,oshi.hardware.platform.unix.solaris.SolarisGraphicsCard,class,4,6,2,4,23,2,0,15,1,0.5,0.0,0.0,2,1,1,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,2,59,2,1,1,0,0,20,14,18,6,9,5,0,0,0,47,16,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/hardware/NetworkIF.java,oshi.hardware.NetworkIF$IfOperStatus,enum,1,1,0,1,4,1,0,6,0,0.0,0.0,0.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,2,18,2,0,1,0,0,0,7,1,0,2,0,0,0,1,76,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/driver/windows/perfmon/ProcessorInformation.java,oshi.driver.windows.perfmon.ProcessorInformation,class,7,7,0,7,11,1,0,5,15,0.8333333,0.0,0.0,6,5,5,1,0,0,5,0,0,0,1,1,0,1,0,0,1,0,7,82,9,0,0,0,0,0,0,1,0,1,1,0,5,0,70,17,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/test/java/oshi/util/FstatUtilTest.java,oshi.util.FstatUtilTest,class,2,2,0,2,2,1,0,11,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,2,1,1,0,1,1,0,0,0,35,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/hardware/common/AbstractBaseboard.java,oshi.hardware.common.AbstractBaseboard,class,2,7,5,2,1,1,5,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,7,0,1,0,1,0,0,0,0,14,1025,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/driver/mac/net/NetStat.java,oshi.driver.mac.net.NetStat$IFdata,innerclass,1,1,0,1,12,1,0,0,44,0.8333334,0.0,0.0,12,0,11,0,0,1,12,0,0,0,11,0,0,11,0,0,11,0,0,59,11,0,0,0,0,0,9,11,0,11,0,0,0,0,29,9,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/hardware/platform/unix/aix/AixComputerSystem.java,oshi.hardware.platform.unix.aix.AixComputerSystem$LsattrStrings,innerclass,0,0,0,0,8,1,0,1,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,7,0,0,7,0,0,7,0,0,18,0,0,0,0,0,0,0,7,0,7,0,0,0,0,11,26,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/software/os/InternetProtocolStats.java,oshi.software.os.InternetProtocolStats$IPConnection,innerclass,3,3,0,3,13,1,0,3,17,0.72727275,0.0,0.0,11,0,11,0,0,0,11,0,0,0,9,0,0,9,0,0,8,0,6,64,10,0,0,2,0,12,0,13,1,11,1,0,0,0,91,16,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/test/java/oshi/util/ParseUtilTest.java,oshi.util.ParseUtilTest,class,8,8,0,8,56,1,0,98,1538,0.96428573,0.0,0.0,56,0,0,0,0,56,56,0,0,0,1,1,0,1,0,0,1,0,31,545,0,0,0,0,3,515,486,136,63,54,1,0,1,3,331,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/software/os/unix/aix/AixOperatingSystem.java,oshi.software.os.unix.aix.AixOperatingSystem,class,28,30,2,28,48,2,0,57,200,0.9047619,0.0,0.0,21,1,18,2,1,0,19,0,0,0,4,1,0,4,0,0,4,0,21,154,24,5,7,0,3,12,31,34,9,33,4,0,0,3,124,1,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/jna/platform/linux/LinuxLibc.java,oshi.jna.platform.linux.LinuxLibc,interface,6,10,4,6,7,4,0,4,3,1.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,2,0,0,0,0,2,0,0,0,28,0,0,0,0,3,1,4,2,0,2,0,0,3,0,112,1,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/util/platform/windows/PerfCounterWildcardQuery.java,oshi.util.platform.windows.PerfCounterWildcardQuery,class,15,17,2,15,31,1,0,50,13,0.77777773,0.0,0.0,6,5,5,1,0,0,5,0,0,0,3,3,0,3,0,0,3,0,18,119,8,7,2,2,3,6,10,27,1,27,5,0,1,1,124,17,3
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/util/Util.java,oshi.util.Util,class,5,58,53,5,14,1,0,17,21,0.85714287,0.0,0.0,7,6,6,1,0,0,6,0,0,0,1,1,0,1,0,0,1,0,5,35,5,0,2,1,2,6,3,1,0,1,1,0,0,0,96,17,2
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/driver/windows/wmi/OhmSensor.java,oshi.driver.windows.wmi.OhmSensor$ValueProperty,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/jna/platform/linux/LinuxLibc.java,oshi.jna.platform.linux.LinuxLibc$Exit_status,innerclass,2,2,0,2,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,10,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core-java25/src/main/java/oshi/ffm/mac/CoreFoundation.java,oshi.ffm.mac.CoreFoundation$CFStringRef,innerclass,4,4,0,4,11,2,0,14,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,43,6,0,2,2,0,6,4,9,3,9,2,0,0,0,77,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/hardware/platform/unix/openbsd/OpenBsdGraphicsCard.java,oshi.hardware.platform.unix.openbsd.OpenBsdGraphicsCard,class,4,6,2,4,23,2,0,14,1,0.5,0.0,0.0,2,1,1,0,0,1,2,0,0,0,2,2,0,2,0,0,2,0,2,58,2,1,0,0,0,19,12,22,8,11,4,0,0,0,57,16,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/driver/windows/wmi/Win32Printer.java,oshi.driver.windows.wmi.Win32Printer,class,4,4,0,4,2,1,0,3,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,10,1,0,0,0,0,1,0,2,0,2,0,0,1,0,30,17,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/driver/linux/Lshal.java,oshi.driver.linux.Lshal,class,3,3,0,3,7,1,0,3,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,22,4,2,0,0,0,4,0,2,0,2,2,0,0,0,23,17,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/jna/ByRef.java,oshi.jna.ByRef$CloseableLONGLONGByReference,innerclass,2,2,0,2,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/software/os/unix/openbsd/OpenBsdOperatingSystem.java,oshi.software.os.unix.openbsd.OpenBsdOperatingSystem,class,25,27,2,25,38,2,0,58,188,0.93333334,0.0,0.0,20,1,17,2,1,0,18,0,0,0,3,3,0,2,0,1,3,0,21,133,25,3,3,0,1,20,26,33,7,32,3,0,1,4,120,1,1
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/jna/ByRef.java,oshi.jna.ByRef$CloseableNativeLongByReference,innerclass,3,3,0,3,3,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core-java25/src/main/java/oshi/software/os/windows/WindowsNetworkParamsFFM.java,oshi.software.os.windows.WindowsNetworkParamsFFM,class,5,7,2,5,14,2,0,10,21,0.0,0.0,0.0,7,2,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,42,10,2,0,1,0,6,6,4,0,4,2,0,0,0,25,17,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/software/common/AbstractNetworkParams.java,oshi.software.common.AbstractNetworkParams,class,4,13,9,4,17,1,8,26,10,0.8,0.0,0.0,5,1,4,0,1,0,5,0,0,0,1,1,0,1,0,0,1,0,7,61,8,2,4,2,0,12,13,17,0,15,3,0,0,0,64,1025,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/jna/platform/windows/NtDll.java,oshi.jna.platform.windows.NtDll,interface,6,8,2,6,1,8,0,1,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,74,0,0,0,0,0,1,1,2,0,2,0,0,7,0,28,1,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/jna/platform/mac/SystemB.java,oshi.jna.platform.mac.SystemB$SocketFdInfo,innerclass,5,5,0,5,1,2,0,2,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,1,7,0,0,0,0,0,2,0,0,0,2,0,0,0,0,16,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/PlatformEnum.java,oshi.PlatformEnum,enum,1,3,2,1,6,1,0,4,4,0.5,0.0,0.0,4,2,3,0,0,1,4,0,0,0,1,0,0,1,0,0,1,0,2,30,4,0,0,0,0,13,1,1,0,1,1,0,0,0,71,1,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/driver/unix/aix/PsInfo.java,oshi.driver.unix.aix.PsInfo,class,16,19,3,16,33,1,0,29,15,0.6666667,0.0,0.0,7,6,4,3,0,0,4,0,0,0,3,3,0,3,0,0,3,0,18,123,12,4,13,3,0,10,33,43,14,35,6,0,0,0,144,17,4
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/software/os/unix/freebsd/FreeBsdFileSystem.java,oshi.software.os.unix.freebsd.FreeBsdFileSystem,class,9,12,3,9,25,2,0,24,6,0.875,0.0,0.0,4,0,4,0,0,0,4,0,0,0,8,8,4,4,0,0,8,0,12,86,4,3,0,0,2,24,21,34,5,27,3,0,0,0,75,17,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/util/platform/linux/ProcPath.java,oshi.util.platform.linux.ProcPath,class,4,5,1,4,3,1,0,4,1,1.0,-1.0,-1.0,2,1,0,2,0,0,0,0,0,0,32,32,32,0,0,0,32,0,2,44,1,0,0,0,0,35,0,34,32,33,1,0,0,0,64,17,0
/tmp/ck-analysis/oshi_oshi/oshi-demo/src/main/java/oshi/demo/OshiHTTPServer.java,oshi.demo.OshiHTTPServer,class,5,6,1,5,11,1,0,24,0,0.33333334,0.0,0.0,3,1,3,0,0,0,3,0,0,0,3,2,0,3,0,0,2,0,2,73,0,1,1,3,0,23,3,17,5,17,3,0,0,0,99,1,8
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/jna/platform/windows/PowrProf.java,oshi.jna.platform.windows.PowrProf$BATTERY_INFORMATION,innerclass,4,4,0,4,1,2,0,2,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,10,0,10,0,0,0,0,0,1,15,0,0,0,0,0,10,2,2,0,10,0,0,0,0,33,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/software/common/AbstractOSFileStore.java,oshi.software.common.AbstractOSFileStore,class,3,11,8,3,10,1,7,15,31,0.8000001,0.0,0.0,10,0,8,0,2,0,10,0,0,0,7,0,0,7,0,0,0,0,0,44,8,0,0,0,0,16,0,7,1,7,0,0,0,0,41,1025,0
/tmp/ck-analysis/oshi_oshi/oshi-core-java25/src/main/java/oshi/ffm/mac/MacSystemFunctions.java,oshi.ffm.mac.MacSystemFunctions,class,1,9,8,1,20,2,0,18,0,0.8421054,0.0,0.0,18,17,17,1,0,0,17,0,0,0,19,19,1,18,0,0,19,0,18,76,17,0,0,0,0,18,0,21,0,21,0,0,0,0,68,17,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/test/java/oshi/driver/linux/proc/AuxvTest.java,oshi.driver.linux.proc.AuxvTest,class,2,2,0,2,1,1,0,5,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,4,1,0,1,0,0,0,0,17,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/hardware/platform/windows/WindowsHardwareAbstractionLayer.java,oshi.hardware.platform.windows.WindowsHardwareAbstractionLayer,class,28,29,1,28,13,2,0,9,78,0.0,0.0,0.0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,9,41,13,0,0,0,0,0,0,0,0,0,0,0,0,0,35,17,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/test/java/oshi/driver/linux/proc/DiskStatsTest.java,oshi.driver.linux.proc.DiskStatsTest,class,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,1,0,3,1,0,0,1,18,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/hardware/platform/unix/freebsd/FreeBsdFirmware.java,oshi.hardware.platform.unix.freebsd.FreeBsdFirmware,class,4,5,1,4,11,2,0,11,0,0.25,0.0,0.0,4,1,3,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,33,4,1,0,0,0,5,3,11,0,7,2,0,0,0,26,16,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/jna/platform/mac/IOKit.java,oshi.jna.platform.mac.IOKit$SMCKeyDataKeyInfo,innerclass,2,2,0,2,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,15,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/test/java/oshi/driver/windows/WindowsDxgiTest.java,oshi.driver.windows.WindowsDxgiTest,class,4,4,0,4,15,1,0,15,91,0.0,0.0,0.0,14,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,6,71,0,1,0,0,0,25,93,21,10,21,1,0,0,0,100,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/jna/platform/mac/IOKit.java,oshi.jna.platform.mac.IOKit$SMCKeyDataPLimitData,innerclass,2,2,0,2,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,5,0,0,0,0,18,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/software/os/InternetProtocolStats.java,oshi.software.os.InternetProtocolStats$TcpStats,innerclass,1,1,0,1,12,1,0,0,24,0.75,0.0,0.0,12,0,12,0,0,0,12,0,0,0,10,0,0,10,0,0,10,0,0,57,11,0,0,0,0,11,0,10,1,10,0,0,0,0,96,16,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/test/java/oshi/software/os/FileSystemTest.java,oshi.software.os.FileSystemTest,class,3,3,0,3,5,1,0,27,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,33,0,1,2,0,0,19,7,2,0,2,3,0,0,0,60,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/test/java/oshi/hardware/CentralProcessorTest.java,oshi.hardware.CentralProcessorTest,class,11,11,0,11,18,1,0,51,0,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,1,0,0,1,0,0,0,0,3,92,0,4,0,0,0,43,35,13,3,12,3,0,0,0,118,0,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/test/java/oshi/util/ParseUtilTest.java,oshi.util.ParseUtilTest$TestEnum,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/hardware/platform/mac/MacFirmware.java,oshi.hardware.platform.mac.MacFirmware,class,7,8,1,7,29,2,0,16,0,0.16666667,0.0,0.0,6,1,5,1,0,0,5,0,0,0,1,0,0,1,0,0,1,0,1,91,6,1,11,0,0,14,0,27,0,10,5,0,0,0,34,16,0
/tmp/ck-analysis/oshi_oshi/oshi-core-java25/src/main/java/oshi/software/os/windows/WindowsInstalledAppsFFM.java,oshi.software.os.windows.WindowsInstalledAppsFFM,class,2,2,0,2,2,1,0,1,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0
/tmp/ck-analysis/oshi_oshi/oshi-core/src/main/java/oshi/hardware/platform/mac/MacCentralProcessor.java,oshi.hardware.platform.mac.MacCentralProcessor,class,22,24,2,22,57,2,0,92,100,0.8958333,0.0,0.0,16,2,7,7,2,0,9,0,0,0,12,8,0,12,0,0,10,0,47,261,23,5,12,4,3,63,66,105,21,82,5,0,0,6,166,16,2
